Provinsi,Tahun,HLS,PDRB_Growth,Pengeluaran,RLS,UHH
SULAWESI TENGAH,2024,13.34,9.89,10536000,9.04,69.42
SULAWESI TENGGARA,2019,13.55,6.5,9436000,8.91,70.97
SULAWESI TENGGARA,2020,13.65,-0.65,9331000,9.04,71.22
SULAWESI TENGGARA,2021,13.68,4.1,9381000,9.13,71.27
SULAWESI TENGGARA,2022,13.69,5.53,9708000,9.25,71.37
SULAWESI TENGGARA,2023,13.7,5.35,10117000,9.31,71.47
SULAWESI TENGGARA,2024,13.71,5.4,10606000,9.42,71.6
SULAWESI UTARA,2019,12.73,5.65,11115000,9.43,71.58
SULAWESI UTARA,2020,12.85,-0.99,10791000,9.49,71.69
SULAWESI UTARA,2021,12.94,4.16,10882000,9.62,71.76
SULAWESI UTARA,2022,12.95,5.42,11179000,9.68,72.08
SULAWESI UTARA,2023,12.96,5.48,11497000,9.77,72.4
SULAWESI UTARA,2024,12.97,5.39,11998000,9.84,72.69
SUMATERA BARAT,2019,14.01,5.01,10925000,8.92,69.31
SUMATERA BARAT,2020,14.02,-1.61,10733000,8.99,69.47
SUMATERA BARAT,2021,14.09,3.29,10790000,9.07,69.59
SUMATERA BARAT,2022,14.1,4.36,11130000,9.18,69.9
SUMATERA BARAT,2023,14.11,4.62,11380000,9.28,70.19
SUMATERA BARAT,2024,14.3,4.36,11718000,9.44,70.33
SUMATERA SELATAN,2019,12.39,5.69,10937000,8.18,69.65
SUMATERA SELATAN,2020,12.45,-0.11,10652000,8.24,69.88
SUMATERA SELATAN,2021,12.54,3.58,10662000,8.3,69.98
SUMATERA SELATAN,2022,12.55,5.24,11109000,8.37,70.32
SUMATERA SELATAN,2023,12.63,5.08,11472000,8.5,70.66
SUMATERA SELATAN,2024,12.64,5.03,12015000,8.57,70.93
SUMATERA UTARA,2019,13.15,5.22,10649000,9.45,68.95
SUMATERA UTARA,2020,13.23,-1.07,10420000,9.54,69.1
SUMATERA UTARA,2021,13.27,2.61,10499000,9.58,69.23
SUMATERA UTARA,2022,13.31,4.73,10848000,9.71,69.61
SUMATERA UTARA,2023,13.48,5.01,11049000,9.82,69.98
SUMATERA UTARA,2024,13.49,5.03,11460000,9.93,70.28
